loan_amnt,int_rate,installment,term_months,annual_inc,dti,emp_length_num,delinq_2yrs,open_acc,revol_util,revol_bal,pub_rec,inq_last_6mths,total_acc,income_to_loan,dti_risk_flag,rate_grade_spread,has_delinquency,loan_to_income_pct,has_pub_rec,high_revol_util,grade,purpose,home_ownership,verification_status,TARGET,risk_score,risk_tier
35000,13.98,814.03,60.0,86000.0,12.59,10.0,0.0,22.0,39.3,29440,0.0,1.0,39.0,2.4571428571428573,0,-0.04450228182524896,0,40.7,0,0,2,1,1,2,0,0.49233255,High
6350,11.67,209.92,36.0,40000.0,18.09,2.0,0.0,6.0,64.3,24710,0.0,1.0,25.0,6.299212598425197,0,0.9818212682015215,0,15.88,0,0,1,1,1,1,0,0.3214804,High
14000,15.99,340.38,60.0,65800.0,24.8,10.0,0.0,16.0,30.0,15293,0.0,1.0,18.0,4.7,0,1.9654977181747508,0,21.28,0,0,2,1,5,2,1,0.7615795,Critical
15000,11.47,494.43,36.0,47000.0,28.29,5.0,1.0,7.0,23.5,2302,1.0,0.0,19.0,3.1333333333333333,0,0.7818212682015222,1,31.91,1,0,1,2,5,2,1,0.6060672,Critical
10000,7.49,311.02,36.0,85000.0,9.82,4.0,0.0,5.0,70.3,15125,0.0,0.0,11.0,8.5,0,0.36422293186679955,0,11.76,0,0,0,2,5,0,0,0.16546541,Medium
5000,16.02,175.84,36.0,26000.0,24.28,3.0,0.0,9.0,21.6,2158,0.0,1.0,15.0,5.2,0,1.9954977181747502,0,19.23,0,0,2,2,4,1,0,0.6293471,Critical
7400,13.99,252.88,36.0,89000.0,5.81,10.0,0.0,8.0,29.2,3294,2.0,2.0,25.0,12.027027027027026,0,-0.03450228182524917,0,8.31,1,0,2,4,1,1,0,0.32875255,High
12600,17.57,317.02,60.0,90000.0,15.45,1.0,0.0,11.0,75.9,19731,0.0,1.0,38.0,7.142857142857143,0,-0.14784672876734106,0,14.0,0,0,3,2,1,0,0,0.5633309,Critical
11000,10.99,360.08,36.0,69750.0,16.9,4.0,1.0,17.0,62.2,14121,0.0,2.0,44.0,6.340909090909091,0,0.3018212682015218,1,15.77,0,0,1,2,5,1,0,0.38934588,High
12500,14.99,297.31,60.0,74000.0,33.86,5.0,0.0,24.0,57.7,22001,1.0,2.0,35.0,5.92,1,0.9654977181747508,0,16.89,1,0,2,1,1,2,0,0.7214543,Critical
14000,14.65,330.5,60.0,81000.0,22.33,8.0,0.0,9.0,77.7,29225,0.0,2.0,19.0,5.785714285714286,0,0.625497718174751,0,17.28,0,0,2,1,5,1,0,0.6795396,Critical
35000,25.57,1039.03,60.0,136000.0,14.66,10.0,1.0,9.0,81.2,16165,0.0,2.0,28.0,3.8857142857142857,0,0.6642397534668731,1,25.74,0,1,5,4,1,2,0,0.69803166,Critical
6000,5.32,180.69,36.0,26000.0,19.81,8.0,0.0,7.0,24.1,5203,0.0,0.0,10.0,4.333333333333333,0,-1.8057770681332004,0,23.08,0,0,0,2,5,0,0,0.17470445,Medium
15775,14.99,546.77,36.0,36000.0,18.4,1.0,0.0,7.0,79.6,7005,0.0,0.0,9.0,2.282091917591125,0,0.9654977181747508,0,43.82,0,0,2,2,5,0,0,0.57912076,Critical
24000,21.45,909.76,36.0,100000.0,32.52,5.0,0.0,12.0,61.9,11634,0.0,1.0,13.0,4.166666666666667,1,3.732153271232658,0,24.0,0,0,3,2,5,2,0,0.79740447,Critical
21000,20.2,558.72,60.0,250000.0,6.5,10.0,0.0,10.0,25.7,2652,1.0,0.0,33.0,11.904761904761905,0,-0.9296796556987807,0,8.4,1,0,4,4,1,1,0,0.56402653,Critical
35000,12.99,1179.12,36.0,100000.0,17.99,10.0,0.0,14.0,36.5,61928,0.0,1.0,32.0,2.857142857142857,0,2.3018212682015218,0,35.0,0,0,1,2,4,2,0,0.28449443,Medium
5000,11.99,166.05,36.0,27000.0,37.42,6.0,0.0,19.0,34.6,11290,0.0,0.0,29.0,5.4,1,1.3018212682015218,0,18.52,0,0,1,1,4,0,1,0.5091895,Critical
12000,11.14,393.67,36.0,83000.0,16.9,7.0,1.0,12.0,84.0,19994,0.0,1.0,30.0,6.916666666666667,0,0.45182126820152213,1,14.46,0,1,1,1,4,2,0,0.3424441,High
19000,11.39,416.82,60.0,125000.0,21.11,10.0,0.0,10.0,72.2,23244,0.0,0.0,28.0,6.578947368421052,0,0.7018212682015221,0,15.2,0,0,1,1,4,0,0,0.44927454,High
23500,20.99,635.63,60.0,80000.0,9.35,10.0,0.0,5.0,99.1,25965,0.0,0.0,8.0,3.404255319148936,0,-0.1396796556987816,0,29.38,0,1,4,2,1,2,0,0.62221575,Critical
16800,9.99,542.01,36.0,82690.0,19.43,4.0,0.0,11.0,43.6,16540,0.0,0.0,19.0,4.922023809523809,0,-0.6981787317984782,0,20.32,0,0,1,2,1,2,0,0.2913665,Medium
6000,12.39,200.41,36.0,32000.0,8.4,4.0,0.0,7.0,67.1,8182,0.0,0.0,7.0,5.333333333333333,0,-1.6345022818252488,0,18.75,0,0,2,4,5,2,0,0.42335072,High
4000,16.99,142.6,36.0,55000.0,19.2,8.0,1.0,24.0,25.5,9729,0.0,2.0,62.0,13.75,0,-0.7278467287673429,1,7.27,0,0,3,12,5,0,0,0.53444105,Critical
15000,11.99,498.15,36.0,56000.0,26.62,10.0,1.0,3.0,93.0,18171,0.0,1.0,14.0,3.7333333333333334,0,-2.034502281825249,1,26.79,0,1,2,1,5,0,1,0.49378017,High
16900,26.49,510.91,60.0,46500.0,13.19,10.0,0.0,12.0,54.2,8722,1.0,1.0,22.0,2.7514792899408285,0,1.5842397534668713,0,36.34,1,0,5,2,1,2,1,0.81518626,Critical
10000,15.41,348.67,36.0,70000.0,9.09,10.0,0.0,3.0,96.6,2319,1.0,0.0,9.0,7.0,0,-2.307846728767341,0,14.29,1,1,3,9,4,2,0,0.4904648,High
10000,9.99,322.63,36.0,40000.0,8.07,6.0,0.0,12.0,39.1,5477,1.0,1.0,30.0,4.0,0,-0.6981787317984782,0,25.0,1,0,1,2,4,1,0,0.45349035,High
28000,11.53,616.22,60.0,100000.0,19.79,2.0,1.0,9.0,51.0,43406,0.0,0.0,24.0,3.5714285714285716,0,0.8418212682015209,1,28.0,0,0,1,1,1,0,1,0.42812014,High
8000,7.91,250.36,36.0,70000.0,12.46,9.0,1.0,21.0,36.2,12823,0.0,1.0,54.0,8.75,0,0.7842229318667995,1,11.43,0,0,0,2,1,1,0,0.21933162,Medium
10000,8.59,205.6,60.0,125000.0,9.37,6.0,0.0,11.0,8.0,2524,0.0,1.0,28.0,12.5,0,1.4642229318667992,0,8.0,0,0,0,1,1,1,0,0.22241765,Medium
15000,11.55,495.0,36.0,118000.0,20.66,5.0,0.0,14.0,71.0,23215,0.0,1.0,23.0,7.866666666666666,0,0.8618212682015223,0,12.71,0,0,1,1,1,1,0,0.3507569,High
10000,5.32,301.15,36.0,65000.0,10.73,7.0,0.0,6.0,14.0,4705,0.0,1.0,13.0,6.5,0,-1.8057770681332004,0,15.38,0,0,0,11,5,0,0,0.28659287,Medium
7000,9.16,223.12,36.0,120000.0,16.1,1.0,11.0,20.0,88.5,7791,0.0,1.0,44.0,17.142857142857142,0,-1.5281787317984783,1,5.83,0,1,1,2,1,1,0,0.34937894,High
15000,13.98,512.52,36.0,90000.0,14.21,2.0,0.0,7.0,92.9,15971,0.0,0.0,8.0,6.0,0,-0.04450228182524896,0,16.67,0,1,2,2,5,0,0,0.44084626,High
1300,9.44,41.61,36.0,52464.0,21.68,10.0,0.0,4.0,38.7,16103,0.0,0.0,21.0,40.356923076923074,0,-1.248178731798479,0,2.48,0,0,1,9,4,1,0,0.23919389,Medium
14000,7.99,438.65,36.0,165000.0,12.41,1.0,0.0,12.0,15.5,9625,0.0,0.0,29.0,11.785714285714286,0,0.8642229318667995,0,8.48,0,0,0,12,1,1,0,0.24920562,Medium
4000,14.65,137.98,36.0,70000.0,19.25,10.0,0.0,12.0,91.4,20301,1.0,2.0,22.0,17.5,0,0.625497718174751,0,5.71,1,1,2,9,1,0,0,0.438951,High
9450,17.57,339.61,36.0,23088.6,17.67,6.0,0.0,10.0,72.3,11286,0.0,0.0,11.0,2.443238095238095,0,-0.14784672876734106,0,40.93,0,0,3,2,5,2,1,0.7073725,Critical
5000,12.29,166.77,36.0,53500.0,3.99,1.0,0.0,9.0,7.2,1312,0.0,0.0,12.0,10.7,0,-1.7345022818252502,0,9.35,0,0,2,7,5,1,0,0.35460046,High
1500,7.59,46.73,36.0,36000.0,26.9,4.0,0.0,11.0,22.2,3290,0.0,0.0,20.0,24.0,0,0.4642229318667992,0,4.17,0,0,0,6,5,0,0,0.21516444,Medium
15000,12.99,505.34,36.0,100000.0,7.12,10.0,0.0,10.0,44.1,17346,0.0,0.0,19.0,6.666666666666667,0,-1.0345022818252492,0,15.0,0,0,2,2,1,1,1,0.35830176,High
12800,9.16,408.0,36.0,70000.0,11.72,1.0,0.0,14.0,52.0,8577,0.0,1.0,22.0,5.46875,0,-1.5281787317984783,0,18.29,0,0,1,1,5,1,0,0.35442784,High
40000,16.02,1406.68,36.0,100000.0,14.2,3.0,2.0,5.0,8.1,130,0.0,2.0,24.0,2.5,0,1.9954977181747502,1,40.0,0,0,2,2,1,2,1,0.7990653,Critical
8000,16.49,283.2,36.0,34000.0,39.18,4.0,0.0,9.0,77.2,32201,0.0,0.0,11.0,4.25,1,-1.227846728767343,0,23.53,0,0,3,11,1,1,0,0.6349082,Critical
1000,18.99,36.66,36.0,33000.0,17.24,1.0,0.0,13.0,1.3,89,0.0,0.0,24.0,33.0,0,1.272153271232657,0,3.03,0,0,3,9,5,1,0,0.386917,High
8000,9.75,257.2,36.0,80000.0,4.13,7.0,1.0,11.0,61.1,6476,0.0,2.0,31.0,10.0,0,-0.9381787317984784,1,10.0,0,0,1,1,1,0,0,0.26939628,Medium
10000,12.29,333.53,36.0,34080.0,15.25,10.0,0.0,15.0,51.3,15581,0.0,0.0,21.0,3.408,0,-1.7345022818252502,0,29.34,0,0,2,2,1,2,1,0.45032918,High
12000,9.99,387.15,36.0,70000.0,19.18,1.0,1.0,13.0,73.2,11571,3.0,1.0,27.0,5.833333333333333,0,-0.6981787317984782,1,17.14,1,0,1,1,1,0,1,0.352266,High
2000,11.44,65.9,36.0,72000.0,28.35,1.0,0.0,10.0,52.8,17367,0.0,0.0,33.0,36.0,0,0.7518212682015211,0,2.78,0,0,1,2,5,1,0,0.40195078,High
20000,16.2,705.12,36.0,95000.0,10.52,1.0,0.0,13.0,53.7,22647,0.0,1.0,19.0,4.75,0,2.17549771817475,0,21.05,0,0,2,1,5,2,0,0.4477234,High
28000,18.45,717.89,60.0,123000.0,12.58,4.0,0.0,14.0,26.1,10222,1.0,3.0,19.0,4.392857142857143,0,0.7321532712326579,0,22.76,1,0,3,2,1,1,0,0.7174829,Critical
6000,21.49,227.57,36.0,18000.0,15.07,2.0,0.0,3.0,50.9,4327,0.0,2.0,3.0,3.0,0,3.772153271232657,0,33.33,0,0,3,9,5,1,0,0.7643459,Critical
9625,17.86,347.3,36.0,44636.8,34.26,10.0,0.0,5.0,91.8,48217,0.0,0.0,14.0,4.637589610389611,1,0.14215327123265808,0,21.56,0,1,3,2,1,1,1,0.5320507,Critical
5775,16.02,203.09,36.0,50000.0,14.04,10.0,1.0,8.0,9.6,1191,0.0,0.0,26.0,8.658008658008658,0,1.9954977181747502,1,11.55,0,0,2,2,5,1,0,0.46165848,High
10000,14.49,235.24,60.0,65000.0,10.66,10.0,2.0,6.0,39.9,3786,0.0,0.0,22.0,6.5,0,0.46549771817475083,1,15.38,0,0,2,4,1,0,1,0.43976644,High
12000,16.99,298.17,60.0,66000.0,3.87,1.0,0.0,9.0,60.4,6403,1.0,0.0,16.0,5.5,0,-0.7278467287673429,0,18.18,1,0,3,2,5,2,1,0.6810959,Critical
30000,30.75,984.47,60.0,115000.0,5.49,2.0,2.0,6.0,75.2,18720,0.0,0.0,26.0,3.8333333333333335,0,5.844239753466873,1,26.09,0,0,5,2,5,2,1,0.72061384,Critical
35000,12.99,796.18,60.0,130000.0,23.96,5.0,0.0,10.0,70.6,47685,0.0,0.0,24.0,3.7142857142857144,0,-1.0345022818252492,0,26.92,0,0,2,2,1,1,0,0.4950812,High
20000,6.03,608.72,36.0,50000.0,24.61,5.0,2.0,11.0,15.3,5253,0.0,2.0,49.0,2.5,0,-1.0957770681332004,1,40.0,0,0,0,2,1,2,0,0.25008613,Medium
16800,8.99,534.16,36.0,125000.0,16.82,1.0,2.0,8.0,50.9,14967,0.0,0.0,19.0,7.440476190476191,0,-1.6981787317984782,1,13.44,0,0,1,1,4,1,0,0.35169572,High
5000,13.99,170.87,36.0,40000.0,17.4,9.0,0.0,8.0,41.9,5071,1.0,0.0,11.0,8.0,0,-0.03450228182524917,0,12.5,1,0,2,2,5,0,0,0.45995447,High
10000,12.69,335.45,36.0,36000.0,12.03,4.0,0.0,5.0,62.5,4565,1.0,3.0,31.0,3.6,0,-1.3345022818252499,0,27.78,1,0,2,1,5,1,0,0.5633217,Critical
32000,9.75,1028.8,36.0,92563.0,20.45,9.0,0.0,8.0,90.1,54045,0.0,0.0,28.0,2.89259375,0,-0.9381787317984784,0,34.57,0,1,1,2,1,1,0,0.25100997,Medium
4500,11.99,149.45,36.0,55000.0,18.74,10.0,1.0,7.0,11.3,3099,0.0,0.0,21.0,12.222222222222221,0,1.3018212682015218,1,8.18,0,0,1,2,1,0,0,0.21521519,Medium
9200,14.65,317.35,36.0,34000.0,14.93,7.0,0.0,14.0,13.1,4301,1.0,1.0,23.0,3.6956521739130435,0,0.625497718174751,0,27.06,1,0,2,8,5,0,0,0.52467763,Critical
11100,16.29,391.84,36.0,33000.0,5.93,5.0,1.0,13.0,36.3,6649,0.0,1.0,20.0,2.972972972972973,0,2.2654977181747498,1,33.64,0,0,2,2,5,2,0,0.5466452,Critical
10000,18.25,255.3,60.0,65000.0,16.16,5.0,0.0,9.0,23.8,7242,0.0,0.0,27.0,6.5,0,-2.87967965569878,0,15.38,0,0,4,2,5,2,1,0.619236,Critical
16000,19.03,415.32,60.0,36000.0,20.93,1.0,0.0,4.0,92.3,12458,0.0,2.0,12.0,2.25,0,1.3121532712326598,0,44.44,0,1,3,1,1,2,0,0.70346445,Critical
15000,14.08,513.25,36.0,50000.0,16.2,2.0,4.0,8.0,54.6,4642,0.0,1.0,13.0,3.3333333333333335,0,0.05549771817475069,1,30.0,0,0,2,9,1,0,1,0.61262697,Critical
15000,8.59,474.14,36.0,160000.0,11.6,10.0,5.0,16.0,50.5,14342,0.0,0.0,24.0,10.666666666666666,0,1.4642229318667992,1,9.38,0,0,0,2,1,2,1,0.2621396,Medium
2775,19.48,102.4,36.0,34000.0,24.71,2.0,0.0,7.0,41.4,952,0.0,2.0,9.0,12.252252252252251,0,-1.6496796556987796,0,8.16,0,0,4,9,5,2,0,0.6574647,Critical
4650,13.18,157.09,36.0,27000.0,22.98,7.0,0.0,22.0,78.7,3378,0.0,0.0,26.0,5.806451612903226,0,-0.8445022818252497,0,17.22,0,0,2,1,4,0,0,0.50004,Critical
14000,13.59,475.71,36.0,128000.0,18.44,10.0,0.0,23.0,74.7,39902,0.0,1.0,65.0,9.142857142857142,0,-0.4345022818252495,0,10.94,0,0,2,2,1,0,0,0.38414195,High
21000,8.9,666.82,36.0,97000.0,8.17,1.0,1.0,11.0,60.4,18487,0.0,0.0,40.0,4.619047619047619,0,1.7742229318667997,1,21.65,0,0,0,2,1,1,0,0.1991833,Medium
6600,20.75,247.81,36.0,106865.0,2.56,10.0,0.0,16.0,17.8,5511,1.0,5.0,32.0,16.191666666666666,0,-0.37967965569878004,0,6.18,1,0,4,2,5,1,1,0.53401834,Critical
12400,22.91,479.42,36.0,54000.0,23.31,10.0,1.0,6.0,99.4,7453,0.0,1.0,11.0,4.354838709677419,0,1.78032034430122,1,22.96,0,1,4,1,1,2,1,0.66975737,Critical
10000,13.11,337.47,36.0,65000.0,27.03,9.0,0.0,23.0,83.4,26261,0.0,1.0,39.0,6.5,0,2.421821268201521,0,15.38,0,1,1,1,4,0,0,0.37769672,High
13500,14.65,318.69,60.0,50000.0,34.45,2.0,0.0,12.0,82.0,18781,0.0,0.0,29.0,3.7037037037037037,1,0.625497718174751,0,27.0,0,1,2,1,5,0,1,0.74181706,Critical
9000,19.99,334.43,36.0,27000.0,63.11,7.0,1.0,13.0,10.7,2292,1.0,1.0,38.0,3.0,1,2.272153271232657,1,33.33,1,0,3,2,1,2,0,0.69872284,Critical
16500,7.89,516.22,36.0,62000.0,17.94,10.0,0.0,17.0,16.2,3871,0.0,0.0,34.0,3.757575757575758,0,0.764222931866799,0,26.61,0,0,0,9,5,2,0,0.29730025,Medium
10000,6.07,304.54,36.0,132000.0,11.48,2.0,0.0,9.0,38.3,20123,0.0,0.0,20.0,13.2,0,-1.0557770681332004,0,7.58,0,0,0,1,5,0,1,0.10419786,Low
13475,9.99,434.74,36.0,38400.0,4.75,3.0,0.0,7.0,0.0,0,0.0,0.0,13.0,2.849721706864564,0,-0.6981787317984782,0,35.09,0,0,1,4,1,1,0,0.33967993,High
25000,17.86,632.94,60.0,95184.0,19.55,4.0,0.0,14.0,45.3,7843,2.0,0.0,39.0,3.80736,0,0.14215327123265808,0,26.26,1,0,3,2,1,2,1,0.6635229,Critical
25000,8.24,786.19,36.0,67000.0,23.52,8.0,0.0,8.0,65.0,19359,0.0,0.0,24.0,2.68,0,-2.4481787317984782,0,37.31,0,0,1,1,1,1,0,0.266237,Medium
19075,18.75,696.81,36.0,43000.0,22.1,10.0,0.0,17.0,62.7,10088,0.0,3.0,32.0,2.254259501965924,0,1.0321532712326587,0,44.36,0,0,3,2,4,0,1,0.6519836,Critical
22425,17.97,569.09,60.0,51000.0,33.46,2.0,0.0,20.0,47.3,28409,0.0,2.0,39.0,2.274247491638796,1,0.2521532712326575,0,43.97,0,0,3,1,5,2,0,0.80669045,Critical
2075,19.99,77.11,36.0,36000.0,4.63,9.0,0.0,7.0,40.4,5012,1.0,0.0,9.0,17.349397590361445,0,2.272153271232657,0,5.76,1,0,3,2,5,2,0,0.52354854,Critical
16000,20.99,432.77,60.0,94500.0,18.43,10.0,1.0,13.0,11.4,2432,0.0,3.0,34.0,5.90625,0,-0.1396796556987816,1,16.93,0,0,4,9,5,2,1,0.7258439,Critical
30000,11.53,660.24,60.0,96559.0,9.78,10.0,0.0,15.0,46.9,41919,0.0,0.0,19.0,3.2186333333333335,0,0.8418212682015209,0,31.07,0,0,1,1,4,2,0,0.44379088,High
7000,12.39,233.81,36.0,20800.0,10.33,3.0,0.0,5.0,61.3,6677,0.0,0.0,19.0,2.9714285714285715,0,-1.6345022818252488,0,33.65,0,0,2,2,1,0,0,0.3791671,High
12000,9.17,382.55,36.0,105000.0,10.37,1.0,0.0,19.0,59.5,5297,2.0,0.0,53.0,8.75,0,-1.5181787317984785,0,11.43,1,0,1,2,4,1,0,0.29640532,Medium
34725,18.99,900.6,60.0,93500.0,31.13,6.0,1.0,13.0,87.5,40531,0.0,1.0,33.0,2.6925845932325414,1,1.272153271232657,1,37.14,0,1,3,2,1,2,1,0.6805939,Critical
14050,14.49,483.55,36.0,70800.0,12.15,10.0,1.0,7.0,77.4,16869,0.0,0.0,20.0,5.039145907473309,0,0.46549771817475083,1,19.84,0,0,2,2,5,1,1,0.43194127,High
10000,10.99,327.34,36.0,70000.0,12.34,6.0,0.0,12.0,29.9,13940,0.0,0.0,15.0,7.0,0,0.3018212682015218,0,14.29,0,0,1,1,4,1,0,0.41114217,High
35000,21.99,966.47,60.0,93000.0,23.92,2.0,1.0,11.0,65.1,17255,0.0,1.0,57.0,2.657142857142857,0,-2.9157602465331287,1,37.63,0,0,5,2,1,2,1,0.7249087,Critical
30000,15.05,714.49,60.0,73000.0,18.15,10.0,0.0,8.0,73.0,25803,0.0,1.0,29.0,2.433333333333333,0,1.0254977181747513,0,41.1,0,0,2,2,1,1,0,0.48232472,High
3000,12.99,101.07,36.0,40000.0,20.76,6.0,0.0,13.0,51.7,10801,0.0,0.0,28.0,13.333333333333334,0,-1.0345022818252492,0,7.5,0,0,2,11,5,2,0,0.5649627,Critical
18900,17.86,478.5,60.0,50000.0,33.32,10.0,1.0,13.0,63.8,13964,0.0,0.0,30.0,2.6455026455026456,1,0.14215327123265808,1,37.8,0,0,3,2,5,0,1,0.8004126,Critical
22800,7.39,708.08,36.0,54500.0,16.08,6.0,0.0,19.0,49.0,7744,1.0,0.0,27.0,2.3903508771929824,0,0.264222931866799,0,41.83,1,0,0,2,5,0,0,0.44982517,High
26875,6.99,829.7,36.0,120000.0,3.8,10.0,0.0,5.0,41.1,14934,0.0,1.0,7.0,4.465116279069767,0,-0.13577706813320045,0,22.4,0,0,0,1,1,1,0,0.18676127,Medium
13000,10.15,420.39,36.0,43680.0,17.06,6.0,0.0,9.0,33.5,4183,1.0,0.0,29.0,3.36,0,-0.5381787317984781,0,29.76,1,0,1,2,5,1,0,0.4190459,High
13000,7.46,260.25,60.0,135000.0,16.19,10.0,0.0,18.0,35.9,51067,0.0,0.0,38.0,10.384615384615385,0,0.3342229318667993,0,9.63,0,0,0,2,1,0,0,0.22722143,Medium
10000,22.4,278.47,60.0,45000.0,14.8,7.0,0.0,8.0,77.3,7963,0.0,2.0,12.0,4.5,0,1.2703203443012185,0,22.22,0,0,4,2,5,1,0,0.76415056,Critical
21600,6.49,661.93,36.0,145000.0,7.98,9.0,0.0,9.0,52.0,30027,0.0,0.0,21.0,6.712962962962963,0,-0.6357770681332005,0,14.9,0,0,0,2,5,0,0,0.15501946,Medium
10000,14.33,343.39,36.0,82489.0,2.97,5.0,1.0,7.0,67.0,6436,0.0,0.0,7.0,8.2489,0,0.3054977181747507,1,12.12,0,0,2,2,4,0,0,0.37507078,High
6000,10.75,195.73,36.0,35000.0,20.58,8.0,0.0,7.0,75.3,3691,0.0,0.0,8.0,5.833333333333333,0,0.06182126820152156,0,17.14,0,0,1,2,5,1,0,0.46908942,High
24000,13.11,547.43,60.0,135000.0,19.59,10.0,0.0,18.0,64.4,21708,0.0,1.0,28.0,5.625,0,2.421821268201521,0,17.78,0,0,1,1,1,1,0,0.43263504,High
22275,24.99,653.68,60.0,70000.0,16.6,8.0,0.0,8.0,95.4,12694,0.0,0.0,18.0,3.142536475869809,0,0.08423975346687129,0,31.82,0,1,5,4,1,2,0,0.7066177,Critical
20000,16.55,492.23,60.0,55000.0,6.85,1.0,0.0,7.0,60.6,12188,0.0,1.0,25.0,2.75,0,-1.1678467287673406,0,36.36,0,0,3,2,1,1,0,0.6515023,Critical
20000,9.17,637.58,36.0,75000.0,31.39,1.0,0.0,11.0,79.0,19290,0.0,0.0,21.0,3.75,1,-1.5181787317984785,0,26.67,0,0,1,1,4,2,0,0.35008547,High
5500,11.44,181.22,36.0,123000.0,21.27,10.0,0.0,30.0,36.4,10659,1.0,2.0,40.0,22.363636363636363,0,0.7518212682015211,0,4.47,1,0,1,2,5,1,0,0.5455412,Critical
6000,7.49,186.61,36.0,38000.0,21.0,6.0,0.0,13.0,7.4,2822,0.0,0.0,25.0,6.333333333333333,0,0.36422293186679955,0,15.79,0,0,0,2,1,0,0,0.22525878,Medium
4000,9.17,127.52,36.0,58000.0,12.73,10.0,0.0,12.0,30.9,5627,0.0,1.0,21.0,14.5,0,-1.5181787317984785,0,6.9,0,0,1,2,1,0,0,0.23234922,Medium
7300,9.17,232.72,36.0,60000.0,15.98,5.0,0.0,16.0,20.0,11575,0.0,0.0,28.0,8.219178082191782,0,-1.5181787317984785,0,12.17,0,0,1,1,1,1,1,0.24810733,Medium
10000,15.49,240.48,60.0,215000.0,19.7,1.0,0.0,17.0,83.6,33609,1.0,1.0,29.0,21.5,0,1.4654977181747508,0,4.65,1,1,2,1,5,1,1,0.6764978,Critical
6500,8.49,205.16,36.0,30000.0,4.68,1.0,0.0,5.0,21.2,3272,0.0,3.0,7.0,4.615384615384615,0,1.3642229318667995,0,21.67,0,0,0,0,5,1,0,0.33517095,High
20000,6.97,617.27,36.0,114000.0,11.98,7.0,0.0,16.0,32.1,19400,0.0,0.0,43.0,5.7,0,-0.1557770681332009,0,17.54,0,0,0,2,4,1,0,0.15584658,Medium
